season,level1,level2,beta,delta_F,d_B,coverage,A_rev,A_lf,A_imbalance,A_ep_blocked_rate,A_lost_rate,A_flex_share_n,A_flex_share_cbm,A_avg_unit_price,A_mean_d,A_no_offer_rate,B_rev,B_lf,B_imbalance,B_ep_blocked_rate,B_lost_rate,B_flex_share_n,B_flex_share_cbm,B_avg_unit_price,B_mean_d,B_no_offer_rate,P_rev,P_lf,P_imbalance,P_ep_blocked_rate,P_lost_rate,P_flex_share_n,P_flex_share_cbm,P_avg_unit_price,P_mean_d,P_no_offer_rate,C_rev,C_lf,C_imbalance,C_ep_blocked_rate,C_lost_rate,C_flex_share_n,C_flex_share_cbm,C_avg_unit_price,C_mean_d,C_no_offer_rate,A_rev_sd,B_rev_sd,P_rev_sd,C_rev_sd,cannibalisation,gap_BA,gap_CB,gap_CA,gap_PA,gap_CP,d_paper,CA_ci95
Peak/Peak,Peak,Peak,0.2,-0.30000000000000004,0.05,0.46296296296296297,4437.009456631802,0.6698383841533518,0.05726470019442567,0.48137709114222177,0.48137709114222177,0.0,0.0,100.0,,0.0,4471.945618046186,0.6920082544221158,0.039499807696938075,0.5448708024925027,0.4940159764714177,0.4826748941921448,0.4883749689854189,97.55812515507291,0.05000000000000002,0.0,4248.55138819607,0.692551171860131,0.03921539061243847,0.5449881652890108,0.49444729294267664,0.4869832917438658,0.4925777168218014,92.61133424767299,0.14999999999999994,0.0,4519.395558309671,0.6903664928716244,0.0410377702190703,0.539966905832787,0.49266299838577937,0.45770633707846853,0.4608690285153857,98.82189553352157,0.025726958218988943,0.05434378829138952,236.6469955866417,232.19765122476753,230.47919900652363,247.97470775937757,0.7278005464480874,0.787380819352685,1.0610580788819317,1.8567934660299255,-4.247411917368184,6.374976912509508,0.15,0.40436046361788486
Peak/Normal,Peak,Normal,0.2,-0.30000000000000004,0.05,0.4675925925925926,4349.5606246109055,0.6566365677250764,0.0599562728342371,0.43514312337699024,0.43514312337699024,0.0,0.0,100.0,,0.0,4412.042252393191,0.6823128895904901,0.04020492082192193,0.5011006097166718,0.44801691966508683,0.47248632483265196,0.4758634244347221,97.62068287782638,0.05000000000000001,0.0,4196.176548140252,0.6826508228894044,0.04004511397822281,0.50063506327955,0.4484040805240265,0.4768647436033005,0.4799653645341088,92.80051953198836,0.14999999999999994,0.0,4433.30335081597,0.6817412900749062,0.03965867307665804,0.49886304409489723,0.44659338871780435,0.450640676264258,0.4513608446243398,98.17128134496987,0.03872858316066272,0.056559215420365516,240.15106062877206,241.30296570239048,231.01401047859608,241.5112947451632,0.7210668264908601,1.4365043546869742,0.4818879150861727,1.92531461065807,-3.526426913163785,5.6510206364127535,0.15,0.40650264395565805
Peak/OffPeak,Peak,OffPeak,0.2,-0.30000000000000004,0.05,0.5231481481481481,4147.287147187634,0.6261001128000657,0.09174000063421621,0.38939626269996025,0.38939626269996025,0.0,0.0,100.0,,0.0,4310.224243745032,0.6668772455866414,0.043100268751266615,0.4463314007593599,0.38550811330673085,0.4786637711938184,0.4849778229275553,97.57511088536222,0.05000000000000001,0.0,4096.2051652457085,0.6673404721266601,0.04319581642984556,0.44628110171266927,0.3855771219733989,0.48289132512293054,0.488776597309733,92.66835104035401,0.14999999999999994,0.0,4327.865277163033,0.6662151191103528,0.044529055862603376,0.4449615426459407,0.38259794471228964,0.45379465341938285,0.4573281401173655,98.06840419675056,0.03927458942055575,0.06555856908599657,254.83497428723905,236.4050131978014,227.70114600051625,247.29917688311812,0.6786245353159851,3.928763328285316,0.4092834251860901,4.354126530588867,-1.2316962903464628,5.655481172741227,0.15,0.45352793610832176
Normal/Peak,Normal,Peak,0.2,-0.30000000000000004,0.05,0.4583333333333333,4346.197632545772,0.6561288696476104,0.06258202598665602,0.434927055578426,0.434927055578426,0.0,0.0,100.0,,0.0,4419.656713860788,0.6836976651525862,0.0403447716078065,0.4989813691486493,0.44585362499379744,0.47789870885925334,0.48182001266757923,97.5908999366621,0.05000000000000001,0.0,4199.63677472993,0.6840176492729703,0.04106730254505086,0.500366441718441,0.4463711983857048,0.4831891790178058,0.48722872589975325,92.69156911150371,0.14999999999999994,0.0,4426.646056718728,0.6828728860635997,0.04083555316796289,0.4968163033518541,0.4439639054783322,0.4570182719868244,0.4577567334220754,97.8581126536403,0.04341422833121846,0.05278486071028187,251.44980069797626,233.9084888065163,224.00508577433737,243.23840737234167,0.7225032349135396,1.6901919223582973,0.15814221127220332,1.8510070405112624,-3.3721627548260877,5.405450379774718,0.15,0.3979667254201046
Normal/Normal,Normal,Normal,0.2,-0.30000000000000004,0.05,0.47685185185185186,4263.382976398905,0.6436266570650521,0.05922089016697202,0.37779213936072253,0.37779213936072253,0.0,0.0,100.0,,0.0,4341.38123922777,0.6715360225417212,0.043060099971997036,0.4449945829597267,0.3895473007225511,0.47588952344276303,0.4806307955066926,97.59684602246654,0.05000000000000001,0.0,4126.545032718482,0.671795625205274,0.04269548367372258,0.4451273419045711,0.38990189206098497,0.4800985428662365,0.48459994928091743,92.73100076078623,0.14999999999999994,0.0,4309.915712393885,0.6704088439009627,0.04205314195469564,0.4407890536887771,0.3877750057974766,0.4496885463878486,0.4519651267714622,97.0569084318887,0.061315916889227655,0.06574543530867988,250.75538303340286,236.05876043376713,228.18248933959487,238.11363578477662,0.7337314918501928,1.8294922895889167,-0.7247814716102128,1.0914509968392259,-3.209609468300793,4.443685412893759,0.15,0.3929760477951311
Normal/OffPeak,Normal,OffPeak,0.2,-0.30000000000000004,0.05,0.47685185185185186,4058.0174641961985,0.6126234094499092,0.07594457226456462,0.3056017559169946,0.3056017559169946,0.0,0.0,100.0,,0.0,4194.219403169903,0.6487565248773361,0.044161082078402344,0.36901389826183484,0.30827075816938637,0.47283476204373076,0.47977826570064835,97.60110867149675,0.05000000000000001,0.0,3989.4905132118765,0.6494525686285578,0.04390304711196966,0.36945661655134926,0.30881296908949396,0.4768943410665459,0.4840075402954928,92.73988689556762,0.14999999999999994,0.0,4145.887652633517,0.6478354003505078,0.042008315822440565,0.3667522328197226,0.3076127370570596,0.4494117741127424,0.4536334247845239,96.60763646677988,0.07380825538334145,0.06042818700695478,259.30817672898644,241.6533124754984,234.07068106914957,252.3240450015136,0.7241925896572221,3.3563665059456023,-1.1523419709483385,2.1653477150504004,-1.6886805340029651,3.9202283826394577,0.15,0.4427089266738669
OffPeak/Peak,OffPeak,Peak,0.2,-0.30000000000000004,0.05,0.49537037037037035,4158.553816791757,0.627800998911799,0.09414269331072944,0.38947589794175796,0.38947589794175796,0.0,0.0,100.0,,0.0,4312.946952409754,0.667389381136233,0.042392586516477794,0.4471522202984325,0.3857822299263283,0.4808741385120303,0.4877074939892793,97.56146253005359,0.05000000000000001,0.0,4097.486043450706,0.6678480030083204,0.04213845709793139,0.4466150335223967,0.38562698848894583,0.4849990847966936,0.4916445756776309,92.62533136483555,0.14999999999999994,0.0,4353.164622315415,0.6664874437255713,0.04241806634013562,0.44518172705357656,0.3846085528344808,0.4651173798674238,0.47091278918891033,98.59876616642434,0.02802363685018611,0.03919163938562537,256.29017270546797,241.89651291818933,233.42472014547957,247.37994474860506,0.6849963583394028,3.7126641236329765,0.9324870059714089,4.679771240132625,-1.4684858253959754,6.23988895028397,0.15,0.48061109825037285
OffPeak/Normal,OffPeak,Normal,0.2,-0.30000000000000004,0.05,0.5,4087.6490137516826,0.6170967713997105,0.07782967189825907,0.3120518165978863,0.3120518165978863,0.0,0.0,100.0,,0.0,4209.332936309182,0.6510633976291978,0.04418283223386512,0.3744025099624338,0.31516214054063163,0.47268626712889955,0.4790290376038726,97.60485481198064,0.05000000000000002,0.0,4000.581065429482,0.651141921813537,0.043545536585238034,0.3745968417150739,0.3155295875609165,0.47687279934424287,0.4831108780909861,92.75333682863521,0.14999999999999994,0.0,4239.815820328235,0.6469984667200838,0.04504816797594671,0.37177128831842265,0.3125930866922834,0.4223209920992285,0.42430052009414715,98.9175347558367,0.02456338180605294,0.13195870463687936,276.3840530638919,239.17958055137726,233.63472008588386,254.0969384579924,0.7158954855975773,2.976868174056275,0.7241737462986464,3.722599618133357,-2.130025059130233,5.980000179625649,0.15,0.46458088168156286
OffPeak/OffPeak,OffPeak,OffPeak,0.2,-0.30000000000000004,0.05,0.4537037037037037,3882.905348189288,0.5861874015986244,0.07076575619140583,0.2061537693169771,0.2061537693169771,0.0,0.0,100.0,,0.0,4030.104743572591,0.6230209452627785,0.044226783923712466,0.26464429556912383,0.2076740158278904,0.4606303828634967,0.4690716589019679,97.65464170549016,0.05000000000000001,0.0,3833.2857217235696,0.6230080039706734,0.043891715982111376,0.265685233741154,0.2083016533661943,0.4655655801672002,0.4741414151543444,92.88787877268486,0.14999999999999994,0.0,4020.07509279859,0.6207913610923712,0.04646997828644322,0.2613658160533837,0.20585063885576305,0.4291836852577164,0.4360405720369143,97.76784626276815,0.05163130840906762,0.07590128792382078,284.99751420571926,248.8921896942669,239.22606289645455,256.3738037239658,0.7548707311652715,3.7909601750129287,-0.24886824070755573,3.5326574384118943,-1.2778994597140352,4.87282672451126,0.15,0.4480760055318306
ANY,ANY,ANY,0.2,-0.30000000000000004,0.05,0.5231481481481481,4187.919322580941,0.6322341972495383,0.0724299390305529,0.3681865789348273,0.3681865789348273,0.0,0.0,100.0,,0.0,4296.201215604787,0.6645821567315106,0.03894736645321529,0.43133361766748096,0.3749857861214956,0.4758149972838629,0.4813026909772583,97.5934865451137,0.05000000000000001,0.0,4081.723196165667,0.6646335233726858,0.039192725383725494,0.4318039596189229,0.3756306002802121,0.48029106591712994,0.4854223146766271,92.7186652798506,0.14999999999999994,0.0,4355.049524682122,0.6628530989381787,0.04047704678957614,0.42738238825173513,0.3710538788428109,0.4301271045380699,0.430167656447138,99.19189929124845,0.018688978770498722,0.11284686536200156,313.0694258127421,276.53247182601245,263.44090017958104,281.00903703306454,0.7106461619695069,2.5855773400408584,1.3697754393715238,3.9907693827822173,-2.5357729754408775,6.696346503192942,0.15,0.43600388457588657
